"c_0","c_2","c_3","c_4"
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 15:57:23,0,0
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 15:57:53,-0.000102779999998859,7.22000000052958e-05
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 15:58:23,0.000272230000000206,1.10999999947126e-05
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 15:58:53,0,0
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 15:59:23,0,0
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 15:59:53,0,0
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:00:23,0.00128291000000047,-0.000226499999996577
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:00:53,0,0
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:01:23,0,0
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:01:53,0.000109009999995635,-0.00271760000001109
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:02:23,0.00115738000000221,-0.00300989999999501
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:02:53,0.00156110999999726,-0.000441200000011577
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:03:23,0.00178662000000429,-0.00116069999998558
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:03:53,0.00188857999999925,-0.00117299999999432
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:04:23,0.00165013000000158,-0.000727900000015325
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:04:53,0.00351935999999853,0.000426000000004478
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:05:23,0.00383549000000016,0.000102099999992333
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:05:53,0.00169336999999814,0.00196260000001303
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:06:23,0.000900149999999656,0.00522939999999039
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:06:53,5.60699999994085e-05,0.000828299999994897
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:07:23,0,0
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:07:53,4.58000000236325e-06,-0.00126329999997665
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:08:23,-9.51499999999328e-05,-0.00391799999999876
"ec574589a968d45d43c1a7b903c905a9",2016-04-15 16:08:53,0,0
