"time","period","lat","lon","parking"
2016-04-19 17:00:01,34,0.000147769999998104,0.000772400000002449,0
2016-04-19 17:30:01,35,0.00462586999999815,0.00413899999999501,0
2016-04-19 18:00:01,36,0,0,2
2016-04-19 18:30:01,37,0,0,1.5
2016-04-19 19:00:01,38,0,0,1
2016-04-19 19:30:01,39,0,0,0.5
2016-04-19 20:00:01,40,0,0,0
2016-04-19 20:30:01,41,0.000600000000005707,0.000558400000002734,0
2016-04-19 21:00:01,42,0,0,11.5
2016-04-19 21:30:01,43,0,0,11
2016-04-19 22:00:01,44,0,0,10.5
2016-04-19 22:30:01,45,0,0,10
2016-04-19 23:00:01,46,0,0,9.5
2016-04-19 23:30:01,47,0,0,9
2016-04-20 00:00:01,0,0,0,8.5
2016-04-20 00:30:01,1,0,0,8
2016-04-20 01:00:01,2,0,0,7.5
2016-04-20 01:30:01,3,0,0,7
2016-04-20 02:00:01,4,0,0,6.5
2016-04-20 02:30:01,5,0,0,6
2016-04-20 03:00:01,6,0,0,5.5
2016-04-20 03:30:01,7,0,0,5
2016-04-20 04:00:01,8,0,0,4.5
2016-04-20 04:30:01,9,0,0,4
2016-04-20 05:00:01,10,0,0,3.5
2016-04-20 05:30:01,11,0,0,3
2016-04-20 06:00:01,12,0,0,2.5
2016-04-20 06:30:01,13,0,0,2
2016-04-20 07:00:01,14,0,0,1.5
2016-04-20 07:30:01,15,0,0,1
2016-04-20 08:00:01,16,0,0,0.5
2016-04-20 08:30:01,17,0,0,0
2016-04-20 09:00:01,18,1.11100000026454e-05,0.000325000000003683,0
2016-04-20 09:30:01,19,-0.000270180000001119,-0.000972799999999552,0
2016-04-20 10:00:01,20,0,0,1.5
2016-04-20 10:30:01,21,0,0,1
2016-04-20 11:00:01,22,0,0,0.5
2016-04-20 11:30:01,23,0,0,0
2016-04-20 12:00:01,24,-0.00205894999999856,0.000532899999996062,0
2016-04-20 12:30:01,25,0,0,2
2016-04-20 13:00:01,26,0,0,1.5
2016-04-20 13:30:01,27,0,0,1
2016-04-20 14:00:01,28,0,0,0.5
2016-04-20 14:30:01,29,0,0,0
2016-04-20 15:00:01,30,0.00132027000000079,0.00352809999999692,0
